Age_Bracket,City,Monthly_Income,Dietary_Style,Weekly_Workouts,Orders_Per_Week,Avg_Spend_Order,Primary_Occasions,Interest_Calorie_Control,Alcohol_Consumption_Freq,Drink_Preference,Max_Set_Calories,Favourite_Flavours,Spirits_Enjoyed,Openness_Zero_Proof,Fair_Price_Bundle,Importance_Local_Ingredients,Likely_Try_30_Days,Likely_Reorder_Score,Preferred_Loyalty_Benefit
35-44,Mumbai,46142.0,Omni,1,1,1971.0,Weekend treat,1,1-2× month,Mocktails,700,Earthy,Gin,Unlikely,<800,5,Maybe,3,Points
18-24,Mumbai,25418.0,Vegetarian,2,0,1052.0,Weekend treat,5,2-3× week,Equal,700,Smoky,"Gin, Tequila",Maybe,>1 200,2,Yes,4,Points
35-44,Bengaluru,32181.0,Vegetarian,1,2,1450.0,"Lunch, Post-work drinks",3,1-2× month,Equal,500,Smoky,Tequila,Maybe,>1 200,5,Yes,3,Points
18-24,Pune,20000.0,Omni,3,0,1018.0,Post-work drinks,3,2-3× week,Mocktails,500,"Earthy, Fruity, Herbal",Rum,Maybe,<800,3,Yes,4,Cocktail upgrade
35-44,Kolkata,27622.0,Omni,2,2,1338.0,"Lunch, Weekend treat",2,1× week,Avoid all,500,Fruity,Gin,Unlikely,>1 200,5,No,2,Free delivery
25-34,Chennai,39969.0,Vegetarian,0,2,1669.0,Weekend treat,5,1-2× month,Cocktails,400,Citrus,"Rum, Tequila",Maybe,>1 200,3,Maybe,3,Nutrition consult
18-24,Delhi,26613.0,Vegetarian,0,1,1216.0,Lunch,4,2-3× week,Avoid all,400,"Smoky, Spicy",Tequila,Unlikely,800-1 000,4,No,1,Points
35-44,Delhi,20000.0,Vegetarian,0,0,1089.0,"Post-work drinks, Weekend treat",5,Never,Mocktails,500,"Earthy, Fruity",None,Yes definitely,800-1 000,1,Yes,3,Cocktail upgrade
25-34,Bengaluru,36391.0,Vegetarian,1,1,1919.0,Post-work drinks,5,2-3× week,Equal,500,"Herbal, Smoky","Gin, Tequila, Whisky",Unlikely,1 000-1 200,4,Yes,4,Cocktail upgrade
18-24,Mumbai,20000.0,Vegan,5,1,1020.0,Post-work drinks,5,1× week,Mocktails,400,"Fruity, Smoky, Spicy",Gin,Unlikely,1 000-1 200,3,Yes,3,Free delivery
25-34,Bengaluru,20000.0,Omni,0,0,898.0,Post-work drinks,5,Daily,Cocktails,600,"Citrus, Earthy, Herbal",Tequila,Unlikely,1 000-1 200,4,Yes,4,Free delivery
25-34,Pune,80000.0,Vegetarian,3,0,2000.0,"Post-work drinks, Weekend treat",4,1× week,Cocktails,600,"Smoky, Spicy","Gin, Tequila, Whisky",Maybe,>1 200,1,Yes,4,Nutrition consult
18-24,Bengaluru,20000.0,Keto,5,2,1016.0,"Post-work drinks, Weekend treat",5,1-2× month,Equal,600,"Fruity, Spicy","Rum, Vodka",Unlikely,>1 200,3,Maybe,3,Cocktail upgrade
45-54,Chennai,34606.0,Keto,2,1,1752.0,"Lunch, Post-work drinks, Weekend treat",3,2-3× week,Equal,500,Smoky,Vodka,Yes definitely,1 000-1 200,1,Maybe,3,Nutrition consult
35-44,Bengaluru,73172.0,Vegan,0,3,2000.0,"Dinner, Weekend treat",4,1-2× month,Cocktails,600,"Earthy, Fruity, Smoky","Tequila, Whisky",Yes definitely,800-1 000,3,No,1,Points
25-34,Kolkata,21958.0,Omni,1,1,1093.0,"Lunch, Post-work drinks, Weekend treat",4,1× week,Cocktails,600,"Herbal, Spicy","Rum, Vodka",Maybe,<800,5,Yes,4,Free delivery
25-34,Pune,57699.0,Vegetarian,0,1,2000.0,Dinner,5,Never,Mocktails,500,Fruity,None,Yes definitely,800-1 000,4,No,1,Cocktail upgrade
18-24,Delhi,43897.0,Omni,1,1,2000.0,"Lunch, Weekend treat",3,Never,Mocktails,500,"Citrus, Fruity",None,Yes definitely,800-1 000,3,Maybe,3,Free delivery
45-54,Delhi,29987.0,Vegetarian,3,1,1318.0,Dinner,1,Daily,Cocktails,600,Citrus,"Rum, Vodka, Whisky",Unlikely,1 000-1 200,3,Yes,4,Free delivery
18-24,Pune,36436.0,Omni,2,3,1691.0,Dinner,5,1-2× month,Cocktails,500,Herbal,Rum,Maybe,1 000-1 200,5,Yes,5,Cocktail upgrade
18-24,Mumbai,20000.0,Vegetarian,6,1,1972.0,Post-work drinks,4,1-2× month,Equal,400,Earthy,"Gin, Rum, Vodka",Maybe,1 000-1 200,4,Yes,5,Cocktail upgrade
35-44,Mumbai,20000.0,Omni,0,0,931.0,"Dinner, Post-work drinks",4,1× week,Mocktails,600,"Citrus, Fruity","Gin, Rum",Yes definitely,>1 200,5,Maybe,4,Free delivery
35-44,Chennai,29287.0,Omni,1,4,1543.0,"Post-work drinks, Weekend treat",4,1× week,Cocktails,500,"Herbal, Smoky, Spicy","Rum, Whisky",Unlikely,1 000-1 200,5,Yes,4,Points
25-34,Hyderabad,20000.0,Omni,0,1,1086.0,"Post-work drinks, Weekend treat",4,Never,Mocktails,500,"Earthy, Herbal, Spicy",None,Yes definitely,>1 200,2,Maybe,3,Free delivery
18-24,Mumbai,36261.0,Keto,4,3,1547.0,Dinner,3,1-2× month,Cocktails,500,Earthy,"Gin, Tequila, Whisky",Maybe,1 000-1 200,4,Yes,5,Cocktail upgrade
45-54,Delhi,28205.0,Keto,5,0,1106.0,"Lunch, Weekend treat",5,1× week,Mocktails,500,"Citrus, Herbal, Spicy",Rum,Unlikely,1 000-1 200,5,No,2,Free delivery
35-44,Mumbai,20000.0,Omni,0,0,1074.0,"Dinner, Post-work drinks, Weekend treat",5,1× week,Mocktails,400,"Citrus, Fruity","Gin, Whisky",Yes definitely,<800,3,No,1,Free delivery
25-34,Hyderabad,20000.0,Omni,6,2,944.0,Dinner,5,1-2× month,Cocktails,500,"Citrus, Fruity, Smoky","Vodka, Whisky",Unlikely,1 000-1 200,3,Maybe,4,Points
18-24,Hyderabad,22367.0,Omni,3,1,1016.0,"Post-work drinks, Weekend treat",4,2-3× week,Cocktails,500,Fruity,Gin,Maybe,<800,5,Yes,4,Nutrition consult
25-34,Mumbai,31393.0,Vegan,5,3,3263.0,Lunch,5,1-2× month,Equal,500,"Earthy, Herbal",Tequila,Yes definitely,>1 200,5,Yes,3,Cocktail upgrade
18-24,Mumbai,23118.0,Omni,7,0,1219.0,"Dinner, Lunch",5,Never,Mocktails,500,Smoky,None,Yes definitely,1 000-1 200,4,No,1,Points
25-34,Mumbai,20000.0,Vegetarian,3,3,779.0,"Dinner, Post-work drinks",1,Never,Mocktails,600,"Earthy, Herbal, Spicy",None,Yes definitely,1 000-1 200,1,Maybe,3,Nutrition consult
25-34,Chennai,40665.0,Omni,0,2,1889.0,Dinner,5,1× week,Cocktails,500,"Earthy, Spicy",Rum,Unlikely,1 000-1 200,5,Maybe,3,Points
35-44,Mumbai,72774.0,Omni,0,1,2000.0,"Post-work drinks, Weekend treat",3,Never,Mocktails,500,"Citrus, Spicy",None,Yes definitely,>1 200,4,Yes,3,Cocktail upgrade
35-44,Chennai,44785.0,Omni,6,2,1882.0,Weekend treat,5,1-2× month,Cocktails,600,"Citrus, Herbal","Gin, Whisky",Yes definitely,1 000-1 200,3,Maybe,4,Free delivery
18-24,Hyderabad,20000.0,Omni,1,0,804.0,Lunch,5,Never,Mocktails,500,"Smoky, Spicy",None,Yes definitely,<800,4,Yes,5,Cocktail upgrade
55+,Kolkata,20785.0,Vegetarian,0,0,1096.0,Dinner,5,1-2× month,Equal,600,Spicy,"Rum, Tequila",Unlikely,>1 200,3,Yes,4,Points
35-44,Bengaluru,48775.0,Omni,0,3,2000.0,Post-work drinks,5,1× week,Cocktails,600,Fruity,Gin,Maybe,1 000-1 200,4,No,2,Nutrition consult
25-34,Chennai,20000.0,Vegetarian,6,3,1889.0,Weekend treat,5,1-2× month,Cocktails,700,"Fruity, Spicy",Tequila,Never,1 000-1 200,5,Maybe,2,Nutrition consult
35-44,Delhi,79176.0,Vegetarian,3,1,2000.0,Post-work drinks,3,1× week,Mocktails,400,"Citrus, Fruity","Gin, Tequila",Unlikely,1 000-1 200,4,Maybe,2,Points
35-44,Kolkata,20000.0,Omni,0,2,1306.0,Lunch,3,2-3× week,Mocktails,500,"Earthy, Herbal, Smoky",Tequila,Maybe,<800,1,Yes,3,Cocktail upgrade
35-44,Mumbai,38034.0,Omni,4,6,1641.0,Dinner,2,2-3× week,Mocktails,700,"Citrus, Smoky",Tequila,Maybe,1 000-1 200,2,Yes,3,Cocktail upgrade
45-54,Mumbai,20000.0,Omni,0,2,1964.0,Weekend treat,3,Never,Mocktails,400,Herbal,None,Yes definitely,<800,5,Maybe,3,Nutrition consult
25-34,Delhi,20579.0,Omni,1,2,988.0,Post-work drinks,2,Never,Mocktails,600,"Earthy, Spicy",None,Yes definitely,<800,4,No,1,Points
25-34,Kolkata,30639.0,Omni,0,2,1319.0,"Post-work drinks, Weekend treat",3,1-2× month,Cocktails,500,"Citrus, Earthy, Spicy",Vodka,Maybe,1 000-1 200,2,Yes,4,Nutrition consult
35-44,Kolkata,33409.0,Vegan,7,3,1344.0,Weekend treat,5,Never,Mocktails,500,Herbal,None,Yes definitely,1 000-1 200,4,Yes,5,Points
25-34,Bengaluru,20530.0,Omni,6,0,1056.0,"Lunch, Post-work drinks",5,1× week,Mocktails,600,"Citrus, Herbal",Gin,Yes definitely,1 000-1 200,4,Maybe,3,Free delivery
18-24,Mumbai,20000.0,Keto,7,2,1083.0,"Dinner, Lunch, Post-work drinks",4,1-2× month,Equal,500,Citrus,Gin,Yes definitely,1 000-1 200,5,Maybe,3,Free delivery
45-54,Mumbai,31663.0,Vegetarian,4,0,1504.0,Post-work drinks,5,1-2× month,Cocktails,500,"Citrus, Herbal","Gin, Tequila",Never,<800,3,Yes,4,Points
35-44,Mumbai,20000.0,Vegetarian,7,2,950.0,Weekend treat,5,2-3× week,Cocktails,400,"Citrus, Smoky",Tequila,Yes definitely,800-1 000,4,Maybe,3,Free delivery
18-24,Bengaluru,52042.0,Omni,0,1,2000.0,"Dinner, Lunch",3,Never,Mocktails,600,"Smoky, Spicy",None,Yes definitely,<800,4,Yes,3,Points
35-44,Mumbai,20000.0,Vegetarian,2,4,1076.0,Dinner,4,Never,Mocktails,400,"Smoky, Spicy",None,Yes definitely,1 000-1 200,4,Maybe,3,Cocktail upgrade
35-44,Pune,39429.0,Vegetarian,1,4,1631.0,"Dinner, Lunch, Weekend treat",5,2-3× week,Equal,500,Smoky,Rum,Maybe,>1 200,1,Maybe,3,Points
25-34,Mumbai,20000.0,Omni,5,4,961.0,Lunch,4,1-2× month,Equal,400,Fruity,Vodka,Yes definitely,800-1 000,4,Yes,5,Free delivery
25-34,Hyderabad,42345.0,Vegetarian,6,2,1975.0,"Dinner, Lunch, Weekend treat",5,Never,Mocktails,400,Herbal,None,Yes definitely,800-1 000,4,Yes,4,Cocktail upgrade
25-34,Hyderabad,20000.0,Omni,1,1,939.0,"Lunch, Post-work drinks",5,Never,Mocktails,600,"Citrus, Spicy",None,Yes definitely,1 000-1 200,3,Yes,4,Free delivery
18-24,Bengaluru,23097.0,Vegetarian,3,5,1195.0,Post-work drinks,5,1× week,Mocktails,600,Fruity,"Tequila, Vodka",Maybe,800-1 000,1,Maybe,2,Points
18-24,Pune,61946.0,Omni,3,2,2000.0,"Lunch, Weekend treat",2,Never,Mocktails,500,"Fruity, Smoky",None,Yes definitely,800-1 000,5,Maybe,2,Points
25-34,Mumbai,28889.0,Omni,0,2,1325.0,Dinner,3,1× week,Cocktails,600,Herbal,"Tequila, Vodka",Unlikely,1 000-1 200,4,Yes,5,Free delivery
25-34,Bengaluru,20991.0,Omni,4,3,1095.0,Lunch,5,1-2× month,Cocktails,700,Herbal,"Gin, Whisky",Yes definitely,>1 200,5,Maybe,3,Free delivery
35-44,Pune,69418.0,Omni,1,0,2000.0,Post-work drinks,4,2-3× week,Mocktails,400,"Fruity, Spicy","Gin, Whisky",Maybe,1 000-1 200,4,Maybe,3,Free delivery
18-24,Delhi,69858.0,Vegetarian,0,1,2000.0,"Dinner, Post-work drinks",3,Never,Mocktails,600,Citrus,None,Yes definitely,<800,4,Yes,5,Points
35-44,Pune,130711.0,Keto,6,2,2000.0,"Dinner, Weekend treat",5,1-2× month,Equal,500,Earthy,Whisky,Unlikely,800-1 000,5,Maybe,4,Cocktail upgrade
25-34,Delhi,24289.0,Vegan,2,2,1203.0,Dinner,4,1× week,Cocktails,400,"Citrus, Herbal, Spicy","Gin, Vodka, Whisky",Maybe,<800,5,No,1,Nutrition consult
35-44,Pune,56425.0,Omni,7,0,2000.0,Post-work drinks,5,1× week,Mocktails,400,Earthy,Rum,Never,800-1 000,4,Yes,4,Free delivery
18-24,Delhi,33321.0,Omni,1,0,1558.0,"Lunch, Weekend treat",1,1× week,Mocktails,400,"Citrus, Herbal","Rum, Whisky",Yes definitely,<800,5,No,2,Cocktail upgrade
25-34,Mumbai,28167.0,Omni,0,2,1275.0,Weekend treat,1,2-3× week,Cocktails,400,Herbal,"Rum, Vodka",Maybe,800-1 000,5,Maybe,3,Cocktail upgrade
25-34,Bengaluru,25476.0,Vegan,4,1,1159.0,Lunch,4,2-3× week,Equal,400,Fruity,Rum,Maybe,800-1 000,5,Yes,4,Points
25-34,Delhi,38957.0,Omni,2,3,1521.0,"Lunch, Post-work drinks",5,Never,Mocktails,400,Citrus,None,Yes definitely,800-1 000,4,Yes,4,Points
35-44,Mumbai,20000.0,Keto,5,1,1078.0,Post-work drinks,4,1-2× month,Cocktails,600,"Citrus, Spicy",Vodka,Unlikely,1 000-1 200,5,Yes,3,Nutrition consult
25-34,Mumbai,37529.0,Vegetarian,5,1,1813.0,"Dinner, Lunch, Post-work drinks, Weekend treat",5,1× week,Cocktails,500,Spicy,"Rum, Vodka, Whisky",Maybe,1 000-1 200,5,Yes,5,Points
35-44,Mumbai,20000.0,Vegetarian,1,4,932.0,"Lunch, Weekend treat",2,Never,Mocktails,700,"Citrus, Herbal, Smoky",None,Yes definitely,1 000-1 200,5,Yes,4,Nutrition consult
25-34,Delhi,44573.0,Omni,3,1,1906.0,Dinner,5,1× week,Cocktails,400,Fruity,Rum,Yes definitely,1 000-1 200,5,Yes,5,Cocktail upgrade
25-34,Bengaluru,20000.0,Omni,0,1,1191.0,Post-work drinks,5,Daily,Cocktails,600,"Citrus, Earthy, Fruity, Herbal, Smoky","Rum, Whisky",Maybe,1 000-1 200,4,Yes,3,Cocktail upgrade
25-34,Mumbai,20000.0,Omni,3,4,2207.0,Lunch,5,1× week,Mocktails,700,"Citrus, Smoky",Whisky,Maybe,<800,3,Yes,4,Free delivery
35-44,Delhi,38792.0,Omni,0,0,1946.0,Weekend treat,5,2-3× week,Mocktails,400,"Citrus, Earthy","Tequila, Whisky",Maybe,1 000-1 200,5,Yes,3,Free delivery
18-24,Bengaluru,37595.0,Omni,2,1,1980.0,Dinner,4,1-2× month,Cocktails,400,"Herbal, Smoky","Gin, Rum, Whisky",Maybe,<800,3,No,2,Cocktail upgrade
25-34,Kolkata,20000.0,Omni,3,3,892.0,"Dinner, Lunch",4,Never,Mocktails,600,Earthy,None,Yes definitely,<800,4,Maybe,4,Points
35-44,Hyderabad,20895.0,Vegetarian,5,0,862.0,Weekend treat,3,Daily,Cocktails,500,Fruity,Rum,Maybe,1 000-1 200,2,Yes,3,Free delivery
35-44,Kolkata,26868.0,Vegetarian,1,1,1216.0,Weekend treat,4,2-3× week,Equal,500,"Citrus, Earthy, Fruity, Smoky, Spicy",Vodka,Unlikely,800-1 000,4,Yes,3,Points
45-54,Mumbai,21899.0,Vegetarian,3,1,1060.0,Weekend treat,5,1-2× month,Equal,500,"Citrus, Spicy",Rum,Maybe,>1 200,3,Yes,4,Free delivery
25-34,Bengaluru,34613.0,Other,2,1,1487.0,Lunch,4,Never,Mocktails,600,Herbal,None,Yes definitely,800-1 000,4,Maybe,3,Cocktail upgrade
45-54,Hyderabad,103210.0,Vegetarian,1,1,2000.0,Post-work drinks,2,1-2× month,Cocktails,600,Spicy,"Rum, Tequila",Yes definitely,<800,4,Maybe,3,Cocktail upgrade
25-34,Mumbai,43213.0,Omni,1,0,3885.0,Post-work drinks,3,1-2× month,Mocktails,400,Spicy,"Gin, Tequila, Vodka",Never,1 000-1 200,4,Maybe,3,Cocktail upgrade
35-44,Delhi,36599.0,Omni,1,2,1583.0,Dinner,4,2-3× week,Mocktails,500,Smoky,Rum,Unlikely,>1 200,1,No,1,Free delivery
25-34,Hyderabad,20000.0,Vegetarian,6,1,985.0,Weekend treat,4,1-2× month,Cocktails,600,"Herbal, Spicy",Gin,Unlikely,1 000-1 200,4,Maybe,4,Nutrition consult
25-34,Delhi,27680.0,Vegetarian,0,2,1365.0,"Dinner, Weekend treat",4,Never,Mocktails,400,"Earthy, Fruity",None,Yes definitely,1 000-1 200,5,Maybe,3,Points
18-24,Mumbai,20688.0,Omni,1,2,902.0,Dinner,4,1-2× month,Equal,400,Herbal,Vodka,Maybe,<800,2,Maybe,4,Cocktail upgrade
18-24,Mumbai,85564.0,Omni,6,3,2000.0,"Dinner, Post-work drinks, Weekend treat",4,Never,Mocktails,400,Earthy,None,Yes definitely,<800,3,Maybe,3,Nutrition consult
45-54,Mumbai,46065.0,Omni,0,2,3664.0,Weekend treat,5,1-2× month,Mocktails,500,"Herbal, Spicy",Whisky,Yes definitely,800-1 000,3,Yes,5,Points
25-34,Mumbai,37851.0,Omni,2,4,1818.0,"Dinner, Post-work drinks, Weekend treat",2,1-2× month,Cocktails,600,"Fruity, Spicy","Tequila, Vodka",Never,800-1 000,5,Maybe,3,Cocktail upgrade
18-24,Chennai,52652.0,Omni,2,4,2000.0,"Lunch, Weekend treat",5,2-3× week,Cocktails,600,"Herbal, Spicy",Tequila,Yes definitely,800-1 000,4,Yes,4,Nutrition consult
25-34,Mumbai,57094.0,Omni,1,1,2000.0,"Dinner, Lunch",4,1× week,Cocktails,500,"Citrus, Earthy, Herbal",Whisky,Maybe,1 000-1 200,3,Maybe,3,Points
25-34,Hyderabad,57358.0,Vegetarian,3,2,2000.0,"Dinner, Post-work drinks",3,1-2× month,Cocktails,500,Fruity,Rum,Maybe,800-1 000,1,Yes,4,Points
45-54,Mumbai,20000.0,Vegetarian,2,1,994.0,Weekend treat,4,2-3× week,Cocktails,400,Citrus,Rum,Unlikely,1 000-1 200,5,Maybe,3,Cocktail upgrade
25-34,Mumbai,20000.0,Omni,1,2,936.0,Weekend treat,4,1-2× month,Mocktails,400,Earthy,Vodka,Yes definitely,800-1 000,4,Yes,4,Free delivery
35-44,Hyderabad,25361.0,Vegetarian,3,2,1314.0,Weekend treat,5,Daily,Equal,500,"Citrus, Earthy",Vodka,Unlikely,<800,3,No,1,Cocktail upgrade
25-34,Hyderabad,41364.0,Vegetarian,1,1,1775.0,"Lunch, Post-work drinks",3,Daily,Mocktails,700,Spicy,Vodka,Maybe,1 000-1 200,5,Maybe,3,Nutrition consult
35-44,Bengaluru,27234.0,Omni,1,2,1143.0,Lunch,5,Never,Mocktails,500,"Earthy, Fruity, Herbal, Smoky",None,Yes definitely,800-1 000,3,Maybe,3,Cocktail upgrade
45-54,Mumbai,25133.0,Omni,0,2,1251.0,"Post-work drinks, Weekend treat",2,Never,Mocktails,500,Fruity,None,Yes definitely,1 000-1 200,5,Yes,5,Free delivery
35-44,Pune,20000.0,Omni,3,2,1123.0,Post-work drinks,2,1-2× month,Equal,600,Earthy,Vodka,Yes definitely,>1 200,4,Maybe,4,Points
45-54,Mumbai,47392.0,Vegetarian,1,4,2000.0,Lunch,3,Never,Mocktails,600,"Fruity, Spicy",None,Yes definitely,1 000-1 200,5,Yes,3,Free delivery
35-44,Bengaluru,20000.0,Vegan,5,2,1229.0,"Dinner, Post-work drinks",3,2-3× week,Mocktails,600,"Earthy, Smoky","Rum, Tequila",Maybe,>1 200,5,Yes,4,Cocktail upgrade
35-44,Hyderabad,20000.0,Keto,1,3,916.0,"Dinner, Lunch",4,Never,Mocktails,400,"Citrus, Earthy",None,Yes definitely,1 000-1 200,5,Yes,4,Points
45-54,Bengaluru,20000.0,Other,0,0,1002.0,Post-work drinks,5,1× week,Cocktails,500,Spicy,Vodka,Unlikely,800-1 000,5,Maybe,3,Nutrition consult
25-34,Delhi,41616.0,Omni,0,1,1852.0,Lunch,4,Never,Mocktails,400,"Citrus, Smoky",None,Yes definitely,>1 200,5,Maybe,2,Nutrition consult
45-54,Bengaluru,27410.0,Omni,1,2,1192.0,Dinner,5,Never,Mocktails,400,"Fruity, Herbal",None,Yes definitely,>1 200,3,Yes,3,Cocktail upgrade
25-34,Bengaluru,28478.0,Vegan,5,0,1543.0,"Post-work drinks, Weekend treat",5,1-2× month,Avoid all,500,"Citrus, Earthy, Herbal, Spicy",Whisky,Never,1 000-1 200,3,Maybe,4,Nutrition consult
25-34,Mumbai,20000.0,Vegan,1,3,948.0,Weekend treat,1,1-2× month,Cocktails,500,"Citrus, Fruity, Herbal","Gin, Vodka",Yes definitely,800-1 000,4,Yes,4,Cocktail upgrade
25-34,Delhi,24768.0,Omni,1,0,1158.0,Lunch,5,Never,Mocktails,600,Fruity,None,Yes definitely,<800,2,No,1,Free delivery
45-54,Mumbai,24062.0,Vegan,0,2,1185.0,"Dinner, Post-work drinks",5,2-3× week,Equal,600,Herbal,Vodka,Unlikely,800-1 000,3,Yes,4,Free delivery
35-44,Mumbai,27422.0,Vegetarian,4,2,1100.0,"Dinner, Post-work drinks",4,1× week,Cocktails,500,"Citrus, Smoky","Rum, Vodka",Maybe,<800,3,No,1,Free delivery
25-34,Pune,33587.0,Omni,7,1,1489.0,Post-work drinks,5,1-2× month,Mocktails,500,Citrus,"Gin, Tequila, Whisky",Yes definitely,>1 200,5,No,1,Points
25-34,Hyderabad,20000.0,Vegetarian,4,1,960.0,Post-work drinks,4,Never,Mocktails,500,Spicy,None,Yes definitely,800-1 000,4,Maybe,3,Free delivery
25-34,Kolkata,22463.0,Vegetarian,0,3,1179.0,Post-work drinks,4,Never,Mocktails,600,Fruity,None,Yes definitely,800-1 000,4,Yes,3,Cocktail upgrade
18-24,Bengaluru,21927.0,Keto,0,5,1004.0,Post-work drinks,3,1× week,Mocktails,600,Herbal,"Gin, Vodka",Maybe,1 000-1 200,3,Yes,5,Nutrition consult
25-34,Pune,37796.0,Keto,0,1,1863.0,Lunch,4,Never,Mocktails,600,Citrus,None,Yes definitely,>1 200,4,Yes,5,Points
45-54,Bengaluru,39382.0,Omni,2,4,1834.0,Dinner,4,2-3× week,Equal,600,Citrus,Tequila,Unlikely,1 000-1 200,5,Yes,3,Points
35-44,Delhi,20000.0,Vegetarian,2,1,1049.0,Weekend treat,3,1× week,Mocktails,500,"Citrus, Earthy",Tequila,Never,1 000-1 200,5,Yes,4,Nutrition consult
25-34,Bengaluru,23284.0,Omni,0,5,1098.0,Dinner,3,1× week,Equal,500,Citrus,Gin,Yes definitely,1 000-1 200,4,Maybe,4,Points
35-44,Mumbai,46836.0,Vegetarian,1,2,2000.0,"Post-work drinks, Weekend treat",5,1-2× month,Equal,400,"Earthy, Herbal, Spicy",Tequila,Unlikely,1 000-1 200,3,Yes,3,Points
18-24,Mumbai,25562.0,Vegetarian,5,2,1199.0,"Lunch, Weekend treat",5,2-3× week,Equal,700,Smoky,Tequila,Maybe,800-1 000,2,Maybe,3,Points
35-44,Mumbai,59989.0,Other,4,4,2000.0,"Lunch, Post-work drinks",5,1× week,Cocktails,600,Spicy,Rum,Maybe,1 000-1 200,4,Maybe,3,Cocktail upgrade
18-24,Mumbai,77489.0,Omni,1,2,2000.0,Weekend treat,4,2-3× week,Equal,500,"Earthy, Smoky",Whisky,Maybe,1 000-1 200,1,Yes,4,Points
35-44,Bengaluru,100200.0,Omni,2,1,2000.0,"Lunch, Weekend treat",2,Never,Mocktails,600,"Earthy, Herbal, Spicy",None,Yes definitely,800-1 000,3,Maybe,2,Free delivery
18-24,Mumbai,25758.0,Vegan,1,1,1172.0,Lunch,1,1-2× month,Mocktails,500,"Earthy, Spicy","Tequila, Vodka",Maybe,800-1 000,2,Yes,3,Cocktail upgrade
45-54,Hyderabad,20000.0,Vegetarian,2,2,1100.0,Dinner,5,1-2× month,Cocktails,700,"Citrus, Fruity, Smoky","Rum, Vodka",Yes definitely,1 000-1 200,5,Maybe,2,Cocktail upgrade
25-34,Bengaluru,25403.0,Vegetarian,0,3,1255.0,Post-work drinks,5,1× week,Cocktails,500,Citrus,Tequila,Unlikely,800-1 000,5,Maybe,3,Points
18-24,Pune,40947.0,Omni,0,3,1951.0,Post-work drinks,4,Never,Mocktails,600,Earthy,None,Yes definitely,<800,4,Yes,3,Free delivery
18-24,Chennai,67729.0,Omni,0,1,2000.0,"Lunch, Weekend treat",5,2-3× week,Cocktails,500,"Fruity, Smoky, Spicy","Gin, Vodka",Never,800-1 000,5,Yes,5,Nutrition consult
25-34,Pune,80000.0,Vegetarian,4,4,2000.0,Lunch,4,2-3× week,Equal,400,"Fruity, Smoky","Gin, Vodka",Maybe,800-1 000,3,No,2,Points
35-44,Bengaluru,24096.0,Keto,0,1,1187.0,Weekend treat,5,1-2× month,Mocktails,500,Citrus,Vodka,Unlikely,800-1 000,2,Yes,4,Points
18-24,Hyderabad,67941.0,Omni,3,1,2000.0,Post-work drinks,4,Never,Mocktails,600,Smoky,None,Yes definitely,1 000-1 200,1,Yes,5,Cocktail upgrade
35-44,Hyderabad,33181.0,Omni,2,1,1558.0,"Lunch, Weekend treat",5,1× week,Cocktails,600,"Earthy, Fruity, Smoky","Gin, Rum",Maybe,<800,4,Yes,5,Points
18-24,Pune,20000.0,Omni,5,1,1011.0,Post-work drinks,4,Never,Mocktails,500,Smoky,None,Yes definitely,1 000-1 200,4,Yes,3,Points
55+,Bengaluru,72939.0,Other,0,0,2000.0,Lunch,5,1-2× month,Cocktails,400,Citrus,"Rum, Vodka",Yes definitely,1 000-1 200,3,Yes,4,Nutrition consult
18-24,Chennai,24638.0,Omni,2,1,1279.0,"Dinner, Lunch",5,2-3× week,Cocktails,600,"Fruity, Herbal, Spicy",Rum,Never,>1 200,4,Yes,4,Points
25-34,Delhi,28589.0,Omni,0,1,1281.0,"Post-work drinks, Weekend treat",4,1-2× month,Cocktails,400,Smoky,Rum,Maybe,>1 200,5,Yes,4,Cocktail upgrade
45-54,Mumbai,22556.0,Omni,2,3,1105.0,Post-work drinks,5,Daily,Cocktails,500,"Citrus, Earthy, Smoky, Spicy","Rum, Vodka, Whisky",Maybe,800-1 000,3,No,2,Free delivery
25-34,Hyderabad,31323.0,Vegetarian,1,3,1454.0,"Dinner, Lunch",3,1-2× month,Cocktails,500,Fruity,Gin,Unlikely,1 000-1 200,5,Maybe,4,Free delivery
25-34,Delhi,20000.0,Other,2,4,1059.0,"Dinner, Weekend treat",3,1× week,Equal,500,Fruity,"Vodka, Whisky",Unlikely,800-1 000,2,Yes,4,Cocktail upgrade
45-54,Mumbai,40853.0,Other,2,1,1805.0,"Lunch, Weekend treat",4,1× week,Cocktails,600,"Herbal, Smoky, Spicy",Rum,Yes definitely,<800,4,Yes,4,Free delivery
25-34,Pune,20000.0,Vegetarian,7,1,788.0,Dinner,5,1× week,Mocktails,400,Smoky,"Rum, Vodka",Unlikely,<800,4,Maybe,4,Cocktail upgrade
25-34,Mumbai,52242.0,Omni,0,1,2000.0,Lunch,3,Never,Mocktails,500,"Herbal, Smoky",None,Yes definitely,1 000-1 200,3,Yes,4,Cocktail upgrade
25-34,Mumbai,20000.0,Omni,4,4,911.0,Weekend treat,5,1-2× month,Mocktails,500,"Fruity, Smoky","Vodka, Whisky",Yes definitely,1 000-1 200,1,Yes,4,Points
